,ds,y
495633,25-07-2019,35.2
495634,26-07-2019,34.7
495635,27-07-2019,28.8
495636,28-07-2019,29.7
495637,29-07-2019,27.7
495638,30-07-2019,26
495639,31-07-2019,27.5
495640,08-01-2019,33
495641,08-02-2019,30.1
495642,08-03-2019,26
495643,08-04-2019,27.4
495644,08-05-2019,31.9
495645,08-06-2019,30.4
495646,08-07-2019,29.1
495647,08-08-2019,26.9
495648,08-09-2019,29.8
495649,08-10-2019,32.7
495650,08-11-2019,34.6
495651,08-12-2019,35.1
495652,13-08-2019,33.5
495653,14-08-2019,29.8
495654,15-08-2019,31.6
495655,16-08-2019,34.7
495656,17-08-2019,35.7
495657,18-08-2019,33.7
495658,19-08-2019,27.5
495659,20-08-2019,36.4
495660,21-08-2019,35
495661,22-08-2019,33.2
495662,23-08-2019,32.3
495663,24-08-2019,29
495664,25-08-2019,33.5
495665,26-08-2019,34.1
495666,27-08-2019,34.1
495667,28-08-2019,35.2
495668,29-08-2019,35.8
495669,30-08-2019,36.2
495670,31-08-2019,35.9
495671,09-01-2019,30.7
495672,09-02-2019,30.5
495673,09-03-2019,28.2
495674,09-04-2019,29.3
495675,09-05-2019,30.9
495676,09-06-2019,33.2
495677,09-07-2019,29.4
495678,09-08-2019,30
495679,09-09-2019,32
523732,09-11-2019,34.1
523733,09-12-2019,32.1
523734,13-09-2019,28.6
523735,14-09-2019,32.9
523736,15-09-2019,33.4
523737,16-09-2019,33.4
523738,17-09-2019,33.8
527855,18-09-2019,33.8
527856,19-09-2019,32
527857,20-09-2019,31.5
527858,21-09-2019,33.5
527859,22-09-2019,33.8
527860,23-09-2019,34.6
527861,24-09-2019,34
531764,25-09-2019,33
531765,26-09-2019,30.9
531766,27-09-2019,28.8
531767,28-09-2019,31.8
531768,29-09-2019,31.2
531769,30-09-2019,33.9
534228,10-01-2019,32.7
534817,10-02-2019,34.5
535406,10-03-2019,33.9
535995,10-04-2019,33.2
536584,10-05-2019,33.5
537173,10-06-2019,32.9
537762,10-07-2019,33.8
538351,10-08-2019,34
538940,10-09-2019,32.8
539529,10-10-2019,34.2
540118,10-11-2019,33.8
540707,10-12-2019,33.5
541296,13-10-2019,32.4
541885,14-10-2019,32
542474,15-10-2019,32.6
543063,16-10-2019,33.2
543652,17-10-2019,31.7
544241,18-10-2019,32.2
544830,19-10-2019,31.6
545419,20-10-2019,31.1
546008,21-10-2019,31.1
546597,22-10-2019,30.1
547186,23-10-2019,32.4
547775,24-10-2019,31.7
548364,25-10-2019,32.4
548953,26-10-2019,32.7
549542,27-10-2019,31.7
550131,28-10-2019,32.2
550720,29-10-2019,32.3
551309,30-10-2019,31.3
551898,31-10-2019,31.7
552487,11-01-2019,29.1
553076,11-02-2019,32.4
553665,11-03-2019,34.6
554254,11-04-2019,32.1
554843,11-05-2019,33
555432,11-06-2019,33.4
556021,11-07-2019,32.9
556610,11-08-2019,32.8
557199,11-09-2019,32.9
557788,11-10-2019,32.5
558377,11-11-2019,31.8
558966,11-12-2019,31.8
559555,13-11-2019,31.6
560144,14-11-2019,30.7
560733,15-11-2019,31
561322,16-11-2019,31.3
561911,17-11-2019,31.6
562500,18-11-2019,32.7
563089,19-11-2019,31.6
563678,20-11-2019,33.4
564267,21-11-2019,31
564856,22-11-2019,30.5
565445,23-11-2019,30.6
566034,24-11-2019,31.2
566623,25-11-2019,31.2
567212,26-11-2019,30.3
567801,27-11-2019,30.3
568390,28-11-2019,32.1
568979,29-11-2019,31.1
569568,30-11-2019,32.3
570157,12-01-2019,31.3
570746,12-02-2019,32
571335,12-03-2019,27.1
571924,12-04-2019,30
572513,12-05-2019,30
573102,12-06-2019,29.4
573691,12-07-2019,29.2
574280,12-08-2019,29.1
574869,12-09-2019,29.5
575458,12-10-2019,30.2
576047,12-11-2019,30.5
576636,12-12-2019,31
577225,13-12-2019,30.6
577814,14-12-2019,30.3
578403,15-12-2019,30.7
578992,16-12-2019,30.7
579581,17-12-2019,30.5
580170,18-12-2019,31.1
580759,19-12-2019,30.2
581348,20-12-2019,30
581937,21-12-2019,30.9
582526,22-12-2019,29
583115,23-12-2019,31.2
583704,24-12-2019,29.1
584293,25-12-2019,29.7
584882,26-12-2019,29.8
585471,27-12-2019,27.9
586060,28-12-2019,26.8
586649,29-12-2019,26.6
587238,30-12-2019,27
587827,31-12-2019,28.4
607676,01-01-2020,27.1
607677,01-02-2020,29.9
607678,01-03-2020,29.1
607679,01-04-2020,24.1
607680,01-05-2020,26.2
607681,01-06-2020,26.9
607682,01-07-2020,28.9
607683,01-08-2020,30.8
607684,01-09-2020,29.4
607688,13-01-2020,26.8
607689,14-01-2020,31.8
607690,15-01-2020,29.1
607691,16-01-2020,30.5
607692,17-01-2020,29
607693,18-01-2020,30.2
607694,19-01-2020,28.8
607695,20-01-2020,31.6
607696,21-01-2020,28.2
607697,22-01-2020,30.6
607698,23-01-2020,31.4
607699,24-01-2020,31.3
607700,25-01-2020,30.3
607701,26-01-2020,32.8
607702,27-01-2020,32.3
607703,28-01-2020,32.7
607704,29-01-2020,33.3
607705,30-01-2020,31.8
607706,31-01-2020,29
607707,02-01-2020,29.2
607708,02-02-2020,30.9
607709,02-03-2020,28.8
607710,02-04-2020,30.4
607711,02-05-2020,32.7
607712,02-06-2020,30.5
607713,02-07-2020,32.9
607714,02-08-2020,31.5
607715,02-09-2020,27.7
607719,13-02-2020,30.2
607720,14-02-2020,31.5
607721,15-02-2020,33.7
607722,16-02-2020,32.8
607723,17-02-2020,32.6
607724,18-02-2020,32.8
607725,19-02-2020,32.8
607726,20-02-2020,32.6
607727,21-02-2020,30.9
607728,22-02-2020,31.1
607729,23-02-2020,34
607730,24-02-2020,32.9
607731,25-02-2020,33.5
607732,26-02-2020,31.9
607733,27-02-2020,30.1
607734,28-02-2020,31.2
607735,29-02-2020,32
607736,03-01-2020,32.4
607737,03-02-2020,32.3
607738,03-03-2020,33.5
607739,03-04-2020,35.3
607740,03-05-2020,36.4
607741,03-06-2020,32.1
607742,03-07-2020,34
607743,03-08-2020,32
607744,03-09-2020,33.9
607748,13-03-2020,32.4
607749,14-03-2020,34.9
607750,15-03-2020,33.9
607751,16-03-2020,34.4
607752,17-03-2020,33.5
607753,18-03-2020,35.5
607754,19-03-2020,33.9
607755,20-03-2020,36.6
607756,21-03-2020,34.8
607757,22-03-2020,34.6
607758,23-03-2020,35.7
607759,24-03-2020,36.1
607760,25-03-2020,34.9
607761,26-03-2020,36.1
607762,27-03-2020,35.4
607763,28-03-2020,37
607764,29-03-2020,37.6
607765,30-03-2020,37.6
607766,31-03-2020,35.2
654855,04-01-2020,38
654856,04-02-2020,38.6
654857,04-03-2020,37.6
654858,04-04-2020,31.2
654859,04-05-2020,33.1
654860,04-06-2020,33.7
654861,04-07-2020,34.7
654862,04-08-2020,38.9
654863,04-09-2020,38.9
654867,13-04-2020,37
654868,14-04-2020,38.1
654869,15-04-2020,38.6
654870,16-04-2020,37.6
654871,17-04-2020,37.1
654872,18-04-2020,38.8
654873,19-04-2020,38
654874,20-04-2020,33.6
